obra_id,contrato,obra,auditor_responsable,duracion_horas,latitud,longitud,supervisor_preferente_id,supervisor_preferente,supervisores_alternativos_ids,supervisores_alternativos,contratista_id,contratista,tipo_inspeccion,prioridad
1,A-2510-K100188-61401-D/0528/2021,"PAVIMENTACIÓN DE LA CALLE VALENTIN CANALIZO, TRAMO: BLVD. VASCO DE QUIROGA A PEDRO MARÍA ANAYA, COL. REAL PROVIDENCIA Y BENITO JUAREZ.",VRA,2,21.135374,-101.652066,SUP-001,ARQ. ELIA ORTIZ TÉLLEZ,SUP-019,ING. JUAN PABLO RODRÍGUEZ CORDOVA,CON-035,"URBANIZADORA Y CONSTRUCTORA CURG, S.A. DE C.V.",Física,3
2,G-5051-K100250-61401-D/0541/2022,"CONSTRUCCIÓN DE CALLE CON CONCRETO EN EL MUNICIPIO DE LEÓN, GTO., EN LA LOCALIDAD SANTA ANA EN LA COLONIA SAN JOSÉ DE LOS MONTES, EN LA CALLE MONTE EL VERDE TRAMO: MONTE MALINTZI-MONTO BLANCO.",XGOT,3,21.057796,-101.67677,SUP-015,ING. FELIPE DE JESÚS ANTIMO PARRA,,,CON-006,"CONSTRUCCION Y SERVICIOS DEL BAJIO, S.A. DE C.V.",Física,3
3,GD-564023,"CONSTRUCCIÓN DE CALLE CON CONCRETO EN EL MUNICIPIO DE LEÓN, GTO.; EN LA LOCALIDAD LEÓN EN LA COLONIA LOMAS DE LOS CASTILLOS, EN LA CALLE CASTILLO DE VERONA TRAMO: CASTILLO DE WINDSOR-CASTILLO DE OVIEDO.",DAPF,3,21.205941,-101.677982,SUP-006,ARQ. MARIA TERESA RAMIREZ MORENO,SUP-018,ING. JOSÉ ALEJANDRO PÉREZ CEJA,CON-019,"INMOBILIARIA DIMARJ, S.A. DE C.V.",Física,3
10,AE-459022,"CONSTRUCCIÓN DE PARQUE BOSQUE DE LA OLLA UBICADO ENTRE LAS CALLES BLVD. CLOTO, BLVD. BALCONES DE LA JOYA Y CALLE LA NOPALERA, EN LA COLONIA RIZOS DEL SAUCILLO. (1ER ETAPA)",XGOT,8,21.147093,-101.755947,SUP-010,ARQ. NORMA VIRIDIANA MACIAS MAGALLANES,,,CON-002,"ACCA, S.A. DE C.V.",Física,3
11,AE-730023,"PP (323) PARQUE MANDARINAS DELEGACIÓN SAN JUAN BOSCO, UBICADA EN BLVD. CEREZA Y BLVD. MIGUEL DE CERVANTES SAAVEDRA, COLONIA LAS MANDARINAS (1RA. ETAPA)",CSGF,4,21.107024,-101.711756,SUP-010,ARQ. NORMA VIRIDIANA MACIAS MAGALLANES,,,CON-018,GUTIERREZ DE LOYOLA DANIEL,Física,3
6,A-2510-K100194-62201-H/0517/2021,PLAN MAESTRO DEL PARQUE METROPOLITANO LAS JOYAS,BACD,2,21.0992260761766,-101.65788506932189,,SIN DATO,,,CON-022,JUAN FRANCISCO CUAUHTEMOC MARQUEZ BARROZO,Física,3
7,A-2510-K100194-62201-H/0531/2021,"PROYECTO EJECUTIVO DEL PARQUE BOSQUE UBICADO ENTRE LAS CALLES BLVD. CLOTO, BLVD. BALCONES DE LA JOYA Y CALLE MATA GORDA, EN LA COLONIA RIZOS DEL SAUCILLO.",BACD,2,21.0992260761766,-101.65788506932189,,SIN DATO,,,CON-034,"URBAN TEN, S.A. DE C.V.",Física,3
8,A-2510-K100250-62201-H/0399/2023,PROYECTO EJECUTIVO PARQUE METROPOLITANO ORIENTE (1RA ETAPA) EN EL MUNICIPIO DE LEON GTO.,MASA,3.5,21.0992260761766,-101.65788506932189,SUP-005,ARQ. LUIS RAYMUNDO ZAMARRIPA,,,CON-014,"ESE ADE CEVE, S.A. DE C.V.",Física,3
9,A-2510-K100250-62201-H/0550/2022,"PROYECTO EJECUTIVO PARA LA REHABILITACIÓN DE INFRAESTRUCTURA (ACCESO, ALUMBRADO, TROTAPISTA, ANDADORES, JUEGOS INFANTILES, EJERCITADORES, ASADORES Y SERVICIOS SANITARIOS) EN LA UNIDAD DEPORTIVA PARQUE DEL ÁRBOL.",CSGF,2.5,21.0992260761766,-101.65788506932189,SUP-007,ARQ. MAURICIO ARIAS BALDERAS,SUP-004,ARQ. JUAN FRANCISCO TADEO ZUÑIGA,CON-015,FRAUSTO VELAZQUEZ MA DE JESUS,Física,3
14,AD-155025,"CONSTRUCCIÓN Y REHABILITACIÓN DE BANQUETAS EN EL CENTRO HISTÓRICO DE LEÓN, GTO. PAQUETE 1 2025.",MASA,2,21.124612,-101.684643,SUP-017,ING. JAIME ABRAHAM MANRÍQUEZ AZPEITIA,,,CON-028,"PROYECTOS SUPERVISION Y CONSTRUCCIONES SOMAR, S.A. DE C.V.",Física,3
16,AE-272025,"OBRA PP Z1882, BARDA PERIMETRAL TUBULAR EN PARQUE, DELEGACIÓN DEL CARMEN ZONA EL POTRERO EN LA COLONIA MAGISTERIAL (PRIMERA ETAPA).",VHDV,2,21.118296,-101.621623,SUP-016,ING. INGRID DEL ROSARIO GÓMEZ REYES,SUP-020,ING. JUAN PABLO RODRÍGUEZ GARCÍA,CON-001,"A R P E PAVIMENTACION Y EDIFICACIONES, S.A. DE C.V.",Física,3
12,AH-088025,"PROYECTO EJECUTIVO PP Z1527, TECHO DIGNO PARA LA PRIMARIA LÁZARO CÁRDENAS, DELEGACIÓN CERRITO DE JEREZ ZONA LOS RAMÍREZ EN LA COMUNIDAD EL RESPLANDOR",ARC,4,21.0992260761766,-101.65788506932189,SUP-005,ARQ. LUIS RAYMUNDO ZAMARRIPA,,,CON-030,RIOS FRAUSTO MA GUADALUPE,Física,3
13,A-2510-K100313-61201-H/0103/2025,"PROYECTO EJECUTIVO PP D1762, TECHO SEGURO PARA PRIMARIA FRANCISCO LOZORNIO, DELEGACIÓN SAN JUAN BOSCO EN LA COLONIA VIVAR II; PROYECTO EJECUTIVO PP Z1582, INSTALACIÓN DE DOMO EN LA ESCUELA PRIMARIA BELISARIO DOMINGUEZ",CSGF,2.5,21.0992260761766,-101.65788506932189,SUP-011,ARQ. RAYMUNDO ZAMARRIPA GONZÁLEZ,,,CON-015,FRAUSTO VELAZQUEZ MA DE JESUS,Física,3
17,AE-333025,"CONSTRUCCION DE PARQUE PUBLICO EN EL MUNICIPIO DE LEON, GTO., EN LA LOCALIDAD LEON DE LOS ALDAMA, COLONIA SAN SEBASTIAN II, CALLE FLAMENCO Y CANARIO.",DAPF,4,21.099809,-101.699916,SUP-015,ING. FELIPE DE JESÚS ANTIMO PARRA,SUP-020,ING. JUAN PABLO RODRÍGUEZ GARCÍA,CON-031,"SISTEMAS Y CONSTRUCCIONES FMMF, S.A. DE C.V.",Física,3
